"id","map_type_id","model_id/id","field_id/id","in_value","out_value"
"map_gfmis_report_61","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_62","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_63","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_64","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_65","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_66","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_67","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_68","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_69","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_70","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_71","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_72","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_73","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_74","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_75","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_76","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060020,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_77","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060021,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_78","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060022,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_79","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060023,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_80","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060024,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_81","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060025,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_82","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060026,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_83","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060027,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
